contact|housing|poutcome|job|loan|month|marital|default|education|age|previous|balance|day_of_week|campaign|duration|y
unknown|yes|unknown|services|no|may|married|no|secondary|27|0|50|5|1|342|no
unknown|yes|unknown|retired|yes|may|married|no|primary|40|0|0|5|1|181|no
unknown|yes|unknown|admin.|no|may|married|no|secondary|44|0|-172|5|1|172|no
unknown|yes|unknown|management|no|may|single|no|tertiary|39|0|255|5|1|296|no
unknown|yes|unknown|entrepreneur|yes|may|married|no|secondary|52|0|113|5|1|127|no
unknown|yes|unknown|management|no|may|single|no|secondary|46|0|-172|5|2|255|no
unknown|yes|unknown|technician|yes|may|single|no|secondary|36|0|265|5|1|348|no
unknown|no|unknown|technician|yes|may|married|no|secondary|57|0|839|5|1|225|no
unknown|yes|unknown|management|no|may|married|no|tertiary|49|0|378|5|1|230|no
unknown|yes|unknown|admin.|yes|may|married|no|secondary|59|0|39|5|1|208|no
unknown|yes|unknown|blue-collar|no|may|married|no|secondary|59|0|0|5|1|226|no
unknown|yes|unknown|management|no|may|married|no|tertiary|51|0|5768|5|1|336|no
unknown|yes|unknown|technician|no|may|divorced|no|secondary|57|0|63|5|1|242|no
unknown|yes|unknown|blue-collar|no|may|married|no|secondary|27|0|-7|5|1|365|no
unknown|no|unknown|technician|no|may|married|no|secondary|53|0|-3|5|1|751|no
unknown|yes|unknown|admin.|no|may|divorced|no|secondary|36|0|506|5|1|577|no
unknown|yes|unknown|admin.|no|may|single|no|secondary|37|0|0|5|1|137|no
unknown|yes|unknown|services|no|may|divorced|no|secondary|44|0|2586|5|1|160|no
unknown|yes|unknown|management|no|may|married|no|secondary|50|0|49|5|2|180|no
unknown|yes|unknown|blue-collar|no|may|married|no|unknown|59|0|104|5|1|35|no
unknown|yes|unknown|retired|no|may|married|no|secondary|54|0|529|5|1|751|no
unknown|yes|unknown|retired|no|may|married|no|unknown|58|0|96|5|1|616|no
unknown|yes|unknown|admin.|no|may|single|no|primary|36|0|-171|5|1|242|no
unknown|yes|unknown|self-employed|no|may|married|no|tertiary|58|0|-172|5|1|355|no
unknown|yes|unknown|technician|no|may|married|no|secondary|44|0|0|5|2|225|no
unknown|no|unknown|technician|no|may|divorced|no|secondary|55|0|0|5|1|160|no
unknown|yes|unknown|management|no|may|single|no|tertiary|29|0|0|5|1|363|no
unknown|yes|unknown|blue-collar|no|may|married|no|secondary|54|0|1291|5|1|266|no
unknown|yes|unknown|management|no|may|divorced|no|tertiary|48|0|-172|5|1|253|no
unknown|yes|unknown|management|no|may|married|no|tertiary|32|0|0|5|1|179|no
unknown|yes|unknown|admin.|no|may|single|no|secondary|42|0|-76|5|1|751|no
unknown|yes|unknown|technician|yes|may|single|no|secondary|27|0|-103|5|1|145|no
unknown|no|unknown|entrepreneur|yes|may|single|no|tertiary|38|0|243|5|1|174|no
unknown|yes|unknown|management|no|may|single|no|tertiary|38|0|424|5|1|104|no
unknown|yes|unknown|blue-collar|no|may|married|no|unknown|47|0|306|5|1|35|no
unknown|yes|unknown|blue-collar|no|may|single|no|unknown|40|0|24|5|1|185|no
unknown|yes|unknown|services|no|may|married|no|primary|46|0|179|5|1|751|no
unknown|yes|unknown|admin.|no|may|married|no|tertiary|32|0|0|5|1|138|no
unknown|yes|unknown|technician|no|may|divorced|no|secondary|53|0|989|5|1|751|no
unknown|yes|unknown|blue-collar|no|may|married|no|primary|57|0|249|5|1|164|no
unknown|yes|unknown|services|no|may|married|no|secondary|33|0|790|5|1|391|no
unknown|yes|unknown|blue-collar|no|may|married|no|unknown|49|0|154|5|1|357|no
unknown|yes|unknown|management|no|may|married|no|tertiary|51|0|5768|5|1|91|no
unknown|no|unknown|retired|no|may|married|no|tertiary|59|0|100|5|1|528|no
unknown|yes|unknown|management|no|may|divorced|no|tertiary|59|0|59|5|1|273|no
unknown|yes|unknown|technician|no|may|married|no|secondary|55|0|1205|5|2|158|no
unknown|yes|unknown|blue-collar|yes|may|single|no|secondary|35|0|5768|5|1|177|no
unknown|yes|unknown|blue-collar|yes|may|married|no|secondary|57|0|5768|5|1|258|no
unknown|yes|unknown|services|yes|may|married|no|secondary|31|0|25|5|1|172|no
unknown|yes|unknown|management|yes|may|married|no|secondary|54|0|282|5|1|154|no
unknown|yes|unknown|blue-collar|no|may|married|no|primary|55|0|23|5|1|291|no
unknown|yes|unknown|technician|no|may|married|no|secondary|43|0|1937|5|1|181|no
unknown|yes|unknown|technician|no|may|married|no|secondary|53|0|384|5|1|176|no
unknown|no|unknown|blue-collar|yes|may|married|no|secondary|44|0|582|5|1|211|no
unknown|no|unknown|services|no|may|divorced|no|secondary|55|0|91|5|1|349|no
unknown|yes|unknown|services|yes|may|divorced|no|secondary|49|0|0|5|1|272|no
unknown|yes|unknown|services|no|may|divorced|yes|secondary|55|0|1|5|1|208|no
unknown|yes|unknown|admin.|no|may|single|no|secondary|45|0|206|5|1|193|no
unknown|no|unknown|services|no|may|divorced|no|secondary|47|0|164|5|1|212|no
unknown|yes|unknown|technician|no|may|single|no|secondary|42|0|690|5|1|35|no
unknown|yes|unknown|admin.|no|may|married|no|secondary|59|0|2343|5|1|751|yes
unknown|yes|unknown|self-employed|yes|may|married|no|tertiary|46|0|137|5|1|246|no
unknown|yes|unknown|blue-collar|no|may|married|no|primary|51|0|173|5|2|529|no
unknown|no|unknown|admin.|no|may|married|no|secondary|56|0|45|5|1|751|yes
unknown|yes|unknown|technician|no|may|married|no|secondary|41|0|1270|5|1|751|yes
unknown|yes|unknown|management|yes|may|divorced|no|secondary|46|0|16|5|2|188|no
unknown|yes|unknown|retired|no|may|married|no|secondary|57|0|486|5|2|180|no
unknown|no|unknown|management|no|may|single|no|secondary|42|0|50|5|1|48|no
unknown|yes|unknown|technician|yes|may|married|no|secondary|30|0|152|5|2|213|no
unknown|yes|unknown|admin.|no|may|married|no|secondary|59|0|290|5|1|583|no
unknown|yes|unknown|blue-collar|no|may|married|no|unknown|59|0|54|5|1|221|no
unknown|no|unknown|entrepreneur|no|may|divorced|no|secondary|57|0|-37|5|1|173|no
unknown|yes|unknown|management|yes|may|married|no|tertiary|36|0|101|5|1|426|no
unknown|no|unknown|blue-collar|no|may|married|no|secondary|55|0|383|5|1|287|no
unknown|yes|unknown|retired|no|may|married|no|tertiary|59|0|81|5|1|101|no
unknown|yes|unknown|technician|no|may|married|no|secondary|39|0|0|5|1|203|no
unknown|yes|unknown|management|no|may|married|no|tertiary|46|0|229|5|1|197|no
unknown|yes|unknown|blue-collar|no|may|married|no|secondary|44|0|-172|5|1|257|no
unknown|no|unknown|blue-collar|no|may|married|no|primary|53|0|90|5|1|124|no
unknown|yes|unknown|blue-collar|no|may|married|no|primary|52|0|128|5|1|229|no
unknown|yes|unknown|blue-collar|no|may|married|no|primary|59|0|179|5|3|55|no
unknown|yes|unknown|technician|no|may|single|no|tertiary|27|0|0|5|1|400|no
unknown|yes|unknown|blue-collar|no|may|married|no|secondary|44|0|54|5|1|197|no
unknown|yes|unknown|technician|no|may|married|no|tertiary|47|0|151|5|1|190|no
unknown|no|unknown|admin.|yes|may|married|no|secondary|34|0|61|5|1|35|no
unknown|yes|unknown|retired|no|may|single|no|secondary|59|0|30|5|1|514|no
unknown|yes|unknown|management|no|may|married|no|tertiary|45|0|523|5|2|751|no
unknown|yes|unknown|services|no|may|divorced|no|secondary|29|0|31|5|1|194|no
unknown|no|unknown|technician|no|may|divorced|no|secondary|46|0|79|5|1|144|no
unknown|yes|unknown|self-employed|yes|may|married|no|primary|56|0|-34|5|2|212|no
unknown|yes|unknown|blue-collar|no|may|married|no|primary|36|0|448|5|1|286|no
unknown|yes|unknown|retired|no|may|divorced|no|primary|59|0|81|5|1|107|no
unknown|yes|unknown|blue-collar|no|may|married|no|secondary|44|0|144|5|2|247|no
unknown|yes|unknown|admin.|no|may|married|no|secondary|41|0|351|5|1|518|no
unknown|yes|unknown|management|no|may|single|no|tertiary|33|0|-67|5|1|364|no
unknown|no|unknown|management|no|may|divorced|no|tertiary|59|0|262|5|1|178|no
unknown|no|unknown|technician|no|may|married|no|primary|57|0|0|5|1|98|no
unknown|yes|unknown|technician|no|may|divorced|no|unknown|56|0|56|5|1|439|no
unknown|yes|unknown|blue-collar|no|may|married|no|secondary|51|0|26|5|1|79|no
unknown|yes|unknown|admin.|no|may|married|no|unknown|34|0|3|5|3|120|no
unknown|yes|unknown|services|yes|may|married|no|secondary|43|0|41|5|2|127|no
unknown|no|unknown|technician|yes|may|married|no|tertiary|52|0|7|5|1|175|no
unknown|yes|unknown|technician|no|may|single|no|secondary|33|0|105|5|2|262|no
unknown|yes|unknown|admin.|yes|may|single|no|secondary|29|0|818|5|1|61|no
unknown|yes|unknown|services|yes|may|married|no|secondary|34|0|-16|5|1|78|no
unknown|yes|unknown|blue-collar|no|may|married|no|secondary|31|0|0|5|1|143|no
unknown|yes|unknown|services|no|may|married|no|secondary|55|0|2476|5|1|579|yes
unknown|no|unknown|management|no|may|married|no|unknown|55|0|1185|5|1|677|no
unknown|yes|unknown|admin.|no|may|single|no|secondary|32|0|217|5|1|345|no
unknown|yes|unknown|technician|no|may|single|no|secondary|38|0|1685|5|1|185|no
unknown|yes|unknown|admin.|yes|may|single|no|secondary|55|0|802|5|2|100|no
unknown|yes|unknown|unemployed|no|may|single|no|tertiary|28|0|0|5|2|125|no
unknown|yes|unknown|blue-collar|no|may|married|no|secondary|27|0|94|5|1|193|no
unknown|yes|unknown|technician|no|may|single|no|secondary|32|0|0|5|1|136|no
unknown|no|unknown|services|no|may|single|no|unknown|43|0|0|5|1|73|no
unknown|yes|unknown|blue-collar|no|may|married|no|secondary|32|0|517|5|1|528|no
unknown|yes|unknown|blue-collar|no|may|married|no|secondary|46|0|265|5|1|541|no
unknown|yes|unknown|housemaid|no|may|divorced|no|primary|53|0|947|5|1|163|no
unknown|yes|unknown|self-employed|no|may|single|no|secondary|34|0|3|5|1|301|no
unknown|no|unknown|unemployed|no|may|married|no|tertiary|57|0|42|5|1|46|no
unknown|yes|unknown|blue-collar|no|may|married|no|secondary|37|0|37|5|1|204|no
unknown|yes|unknown|blue-collar|no|may|married|no|secondary|59|0|57|5|1|98|no
unknown|yes|unknown|services|no|may|married|no|secondary|33|0|22|5|1|71|no
unknown|yes|unknown|blue-collar|no|may|divorced|no|primary|56|0|8|5|2|157|no
unknown|yes|unknown|unemployed|no|may|married|no|secondary|48|0|293|5|1|243|no
unknown|yes|unknown|services|no|may|married|no|primary|43|0|3|5|2|186|no
unknown|yes|unknown|blue-collar|no|may|married|no|primary|54|0|348|5|2|579|no
unknown|yes|unknown|blue-collar|no|may|married|no|unknown|51|0|-19|5|2|163|no
unknown|yes|unknown|student|no|may|single|no|secondary|27|0|0|5|2|610|no
unknown|yes|unknown|management|no|may|married|no|tertiary|40|0|-4|5|1|751|no
unknown|yes|unknown|management|no|may|married|no|secondary|39|0|18|5|1|85|no
unknown|no|unknown|technician|no|may|married|no|primary|50|0|139|5|2|114|no
unknown|yes|unknown|services|no|may|married|no|secondary|41|0|0|5|2|114|no
unknown|yes|unknown|blue-collar|no|may|married|no|unknown|51|0|1883|5|1|57|no
unknown|yes|unknown|retired|no|may|divorced|no|secondary|59|0|216|5|1|238|no
unknown|yes|unknown|blue-collar|no|may|married|no|secondary|52|0|782|5|3|93|no
unknown|yes|unknown|blue-collar|no|may|married|no|secondary|48|0|904|5|2|128|no
unknown|yes|unknown|services|no|may|married|no|unknown|48|0|1705|5|1|107|no
unknown|yes|unknown|technician|no|may|single|no|tertiary|39|0|47|5|1|181|no
unknown|yes|unknown|services|no|may|single|no|secondary|47|0|176|5|2|303|no
unknown|yes|unknown|blue-collar|no|may|married|no|secondary|40|0|1225|5|5|558|no
unknown|yes|unknown|technician|no|may|married|no|secondary|45|0|86|5|1|270|no
unknown|yes|unknown|admin.|no|may|single|no|secondary|27|0|82|5|1|228|no
unknown|yes|unknown|management|no|may|married|no|tertiary|52|0|271|5|1|99|no
unknown|yes|unknown|technician|no|may|married|no|secondary|54|0|1378|5|1|240|no
unknown|no|unknown|admin.|no|may|married|no|tertiary|54|0|184|5|2|673|yes
unknown|no|unknown|blue-collar|no|may|married|no|primary|50|0|0|5|3|233|no
unknown|yes|unknown|blue-collar|no|may|married|no|secondary|35|0|0|5|1|751|no
unknown|yes|unknown|services|yes|may|married|no|secondary|44|0|1357|5|1|250|no
unknown|yes|unknown|entrepreneur|no|may|married|no|unknown|53|0|19|5|1|252|no
unknown|no|unknown|retired|no|may|single|no|primary|35|0|434|5|1|138|no
unknown|yes|unknown|admin.|no|may|divorced|no|secondary|59|0|92|5|1|130|no
unknown|yes|unknown|admin.|no|may|divorced|no|secondary|53|0|1151|5|1|412|no
unknown|yes|unknown|unemployed|no|may|married|no|secondary|48|0|41|5|2|179|no
unknown|yes|unknown|technician|no|may|married|no|secondary|34|0|51|5|2|35|no
unknown|yes|unknown|services|no|may|married|no|secondary|54|0|214|5|2|458|no
unknown|yes|unknown|management|no|may|married|no|secondary|51|0|1161|5|1|717|no
unknown|yes|unknown|services|no|may|married|no|tertiary|31|0|37|5|1|313|no
unknown|yes|unknown|technician|no|may|divorced|no|secondary|35|0|787|5|2|683|no
unknown|yes|unknown|services|no|may|married|no|secondary|35|0|59|5|1|751|no
unknown|yes|unknown|technician|no|may|married|no|secondary|38|0|253|5|1|416|no
unknown|yes|unknown|admin.|no|may|married|no|tertiary|36|0|211|5|2|146|no
unknown|yes|unknown|retired|no|may|married|no|primary|58|0|235|5|1|167|no
unknown|yes|unknown|services|no|may|divorced|no|unknown|40|0|4384|5|1|315|no
unknown|no|unknown|management|no|may|married|no|secondary|54|0|4080|5|1|140|no
unknown|yes|unknown|blue-collar|yes|may|single|no|secondary|34|0|53|5|1|346|no
unknown|yes|unknown|management|no|may|single|no|tertiary|31|0|0|5|1|562|no
unknown|yes|unknown|retired|no|may|married|no|secondary|51|0|2127|5|1|172|no
unknown|yes|unknown|management|no|may|married|no|tertiary|33|0|377|5|1|217|no
unknown|yes|unknown|management|no|may|married|no|tertiary|55|0|73|5|2|142|no
unknown|yes|unknown|admin.|no|may|married|no|secondary|42|0|445|5|1|67|no
unknown|yes|unknown|blue-collar|no|may|married|no|secondary|34|0|243|5|1|291|no
unknown|yes|unknown|blue-collar|no|may|single|no|secondary|33|0|307|5|2|309|no
unknown|yes|unknown|services|no|may|married|no|secondary|38|0|155|5|1|248|no
unknown|no|unknown|technician|yes|may|divorced|no|tertiary|50|0|173|5|1|98|no
unknown|yes|unknown|management|no|may|married|no|tertiary|43|0|400|5|1|256|no
unknown|yes|unknown|blue-collar|no|may|divorced|no|primary|59|0|1428|5|2|82|no
unknown|yes|unknown|admin.|no|may|married|no|secondary|47|0|219|5|1|577|no
unknown|yes|unknown|self-employed|no|may|married|no|tertiary|48|0|7|5|1|286|no
unknown|yes|unknown|blue-collar|no|may|married|no|secondary|44|0|575|5|1|477|no
unknown|yes|unknown|student|no|may|single|no|unknown|35|0|298|5|2|611|no
unknown|yes|unknown|services|no|may|married|no|secondary|35|0|0|5|1|471|no
unknown|yes|unknown|services|no|may|married|no|secondary|50|0|5699|5|2|381|no
unknown|yes|unknown|management|yes|may|married|no|tertiary|41|0|176|5|1|42|no
unknown|yes|unknown|management|no|may|married|no|tertiary|41|0|517|5|1|251|no
unknown|yes|unknown|services|no|may|single|no|unknown|39|0|257|5|1|408|no
unknown|yes|unknown|retired|no|may|married|no|secondary|42|0|56|5|1|215|no
unknown|yes|unknown|blue-collar|no|may|married|no|secondary|38|0|-172|5|1|287|no
unknown|yes|unknown|retired|no|may|married|no|secondary|53|0|330|5|2|216|no
unknown|no|unknown|housemaid|no|may|divorced|no|primary|59|0|195|5|2|366|no
unknown|yes|unknown|services|no|may|married|no|secondary|36|0|301|5|1|210|no
unknown|yes|unknown|blue-collar|no|may|married|no|primary|54|0|-41|5|1|288|no
unknown|yes|unknown|technician|no|may|married|no|tertiary|40|0|483|5|1|168|no
unknown|no|unknown|blue-collar|no|may|married|no|unknown|47|0|28|5|2|338|no
unknown|no|unknown|unemployed|no|may|married|no|unknown|53|0|13|5|3|410|no
unknown|no|unknown|housemaid|no|may|married|no|primary|46|0|965|5|1|177|no
unknown|yes|unknown|management|yes|may|married|no|tertiary|39|0|378|5|2|127|no
unknown|yes|unknown|unemployed|no|may|married|no|secondary|40|0|219|5|1|357|no
unknown|yes|unknown|blue-collar|no|may|married|no|primary|28|0|324|5|1|175|no
unknown|yes|unknown|entrepreneur|no|may|divorced|no|secondary|35|0|-69|5|1|300|no
unknown|no|unknown|retired|yes|may|married|no|secondary|55|0|0|5|1|136|no
unknown|yes|unknown|technician|no|may|divorced|no|unknown|43|0|205|5|1|751|no
unknown|yes|unknown|blue-collar|no|may|married|no|primary|48|0|278|5|2|125|no
unknown|yes|unknown|management|no|may|married|no|unknown|58|0|1065|5|3|213|no
unknown|yes|unknown|management|no|may|single|no|tertiary|33|0|34|5|1|35|no
unknown|no|unknown|blue-collar|no|may|married|no|unknown|36|0|1033|5|2|238|no
unknown|yes|unknown|services|no|may|divorced|no|secondary|53|0|1467|5|1|124|no
unknown|yes|unknown|blue-collar|no|may|married|no|primary|47|0|-12|5|1|35|no
unknown|yes|unknown|services|no|may|married|no|secondary|31|0|388|5|2|730|no
unknown|yes|unknown|entrepreneur|no|may|married|no|secondary|57|0|294|5|2|746|no
unknown|no|unknown|blue-collar|no|may|married|no|unknown|53|0|1827|5|1|121|no
unknown|yes|unknown|blue-collar|no|may|married|no|primary|55|0|627|5|1|247|no
unknown|yes|unknown|blue-collar|no|may|married|no|primary|45|0|25|5|1|40|no
unknown|yes|unknown|admin.|no|may|divorced|no|secondary|53|0|315|5|2|181|no
unknown|yes|unknown|blue-collar|no|may|married|no|primary|37|0|0|5|1|79|no
unknown|yes|unknown|admin.|no|may|divorced|no|secondary|44|0|66|5|1|206|no
unknown|yes|unknown|blue-collar|yes|may|divorced|no|primary|49|0|-9|5|1|389|no
unknown|yes|unknown|technician|yes|may|married|no|secondary|46|0|349|5|1|127|no
unknown|yes|unknown|entrepreneur|no|may|married|no|unknown|43|0|100|5|1|702|no
unknown|no|unknown|admin.|no|may|married|no|secondary|38|0|0|5|1|151|no
unknown|yes|unknown|technician|no|may|married|no|secondary|43|0|434|5|1|117|no
unknown|yes|unknown|management|no|may|married|no|tertiary|49|0|3237|5|3|232|no
unknown|no|unknown|management|no|may|married|no|unknown|42|0|275|5|2|408|no
unknown|yes|unknown|blue-collar|no|may|single|no|secondary|27|0|0|5|2|179|no
unknown|yes|unknown|management|no|may|married|no|tertiary|40|0|207|5|1|39|no
unknown|yes|unknown|blue-collar|no|may|married|no|secondary|39|0|483|5|1|282|no
unknown|yes|unknown|services|no|may|married|no|secondary|51|0|2248|5|2|714|no
unknown|yes|unknown|admin.|no|may|married|no|secondary|49|0|428|5|1|50|no
unknown|yes|unknown|blue-collar|yes|may|married|no|secondary|53|0|0|5|1|181|no
unknown|yes|unknown|services|no|may|single|no|secondary|34|0|0|5|1|142|no
unknown|yes|unknown|technician|no|may|divorced|no|secondary|33|0|140|5|1|227|no
unknown|yes|unknown|management|no|may|single|no|tertiary|50|0|297|5|1|119|no
unknown|yes|unknown|blue-collar|no|may|married|no|primary|39|0|279|5|1|361|no
unknown|yes|unknown|entrepreneur|no|may|divorced|no|secondary|59|0|901|5|3|73|no
unknown|yes|unknown|technician|no|may|single|no|secondary|30|0|2573|5|2|67|no
unknown|yes|unknown|services|yes|may|married|no|secondary|36|0|143|5|1|350|no
unknown|yes|unknown|blue-collar|no|may|married|no|secondary|40|0|475|5|2|332|no
unknown|yes|unknown|blue-collar|no|may|married|no|secondary|53|0|70|5|2|611|no
unknown|yes|unknown|management|no|may|single|no|tertiary|34|0|318|5|2|113|no
unknown|yes|unknown|technician|no|may|married|no|secondary|37|0|275|5|1|132|no
unknown|yes|unknown|management|no|may|divorced|no|tertiary|42|0|742|5|3|58|no
unknown|yes|unknown|entrepreneur|no|may|married|no|primary|41|0|236|5|1|151|no
unknown|yes|unknown|student|no|may|single|no|tertiary|30|0|25|5|2|89|no
unknown|yes|unknown|management|no|may|single|no|tertiary|37|0|600|5|1|152|no
unknown|yes|unknown|admin.|no|may|divorced|no|secondary|39|0|-172|5|2|611|no
unknown|yes|unknown|blue-collar|yes|may|married|no|primary|41|0|183|5|2|110|no
unknown|yes|unknown|blue-collar|no|may|married|no|primary|40|0|0|5|1|463|no
unknown|yes|unknown|management|yes|may|single|no|tertiary|42|0|0|5|2|562|yes
unknown|yes|unknown|blue-collar|no|may|divorced|no|primary|40|0|0|5|1|751|no
unknown|yes|unknown|technician|no|may|married|no|secondary|57|0|1078|5|4|35|no
unknown|no|unknown|entrepreneur|no|may|divorced|no|secondary|56|0|155|5|3|118|no
unknown|yes|unknown|admin.|no|may|married|no|secondary|37|0|190|5|2|92|no
unknown|yes|unknown|retired|no|may|married|no|secondary|59|0|319|5|3|143|no
unknown|yes|unknown|services|no|may|divorced|no|secondary|39|0|-172|5|3|189|no
unknown|no|unknown|services|no|may|married|no|secondary|49|0|47|5|2|234|no
unknown|yes|unknown|services|no|may|single|no|secondary|38|0|570|5|2|75|no
unknown|no|unknown|self-employed|no|may|married|no|tertiary|36|0|19|5|2|189|no
unknown|yes|unknown|blue-collar|no|may|married|no|primary|50|0|61|5|3|621|no
unknown|yes|unknown|admin.|yes|may|married|no|secondary|41|0|-62|5|2|55|no
unknown|no|unknown|technician|no|may|married|no|tertiary|54|0|258|5|4|310|no
unknown|yes|unknown|blue-collar|no|may|married|no|primary|58|0|76|5|2|156|no
unknown|yes|unknown|blue-collar|no|may|single|no|secondary|30|0|0|5|2|35|no
unknown|yes|unknown|admin.|no|may|single|no|secondary|33|0|352|5|2|225|no
unknown|yes|unknown|admin.|no|may|married|no|secondary|47|0|368|5|2|125|no
unknown|yes|unknown|technician|no|may|single|no|tertiary|50|0|339|5|3|35|no
unknown|yes|unknown|blue-collar|no|may|married|no|secondary|32|0|1331|5|2|286|no
unknown|yes|unknown|self-employed|no|may|married|no|secondary|40|0|672|5|2|164|no
unknown|yes|unknown|management|no|may|married|no|tertiary|37|0|58|5|2|98|no
unknown|yes|unknown|technician|no|may|single|no|unknown|54|0|447|5|2|742|no
unknown|yes|unknown|student|no|may|single|no|secondary|27|0|423|5|3|226|no
unknown|no|unknown|management|no|may|married|no|tertiary|54|0|0|5|2|120|no
unknown|yes|unknown|technician|no|may|married|no|secondary|34|0|19|5|4|362|no
unknown|yes|unknown|technician|no|may|divorced|no|primary|56|0|13|5|2|357|no
unknown|yes|unknown|blue-collar|no|may|single|no|secondary|31|0|3|5|2|200|no
unknown|yes|unknown|student|no|may|single|no|secondary|27|0|82|5|2|204|no
unknown|yes|unknown|blue-collar|no|may|divorced|no|primary|42|0|28|5|3|126|no
unknown|yes|unknown|technician|no|may|married|no|secondary|57|0|792|5|2|65|no
unknown|yes|unknown|blue-collar|no|may|married|no|unknown|42|0|408|5|2|107|no
unknown|yes|unknown|admin.|no|may|married|no|secondary|51|0|531|5|2|267|no
unknown|yes|unknown|retired|no|may|married|no|secondary|57|0|211|5|2|248|no
unknown|yes|unknown|services|no|may|single|no|secondary|36|0|62|5|2|215|no
unknown|yes|unknown|services|no|may|married|no|unknown|53|0|257|5|2|209|no
unknown|yes|unknown|technician|no|may|married|no|secondary|50|0|1234|5|2|205|no
unknown|yes|unknown|management|no|may|married|no|tertiary|54|0|313|5|2|83|no
unknown|yes|unknown|blue-collar|no|may|married|no|secondary|55|0|89|5|3|106|no
unknown|yes|unknown|blue-collar|yes|may|married|no|secondary|44|0|129|5|2|189|no
unknown|yes|unknown|management|no|may|married|no|unknown|43|0|0|5|2|105|no
unknown|yes|unknown|admin.|no|may|married|no|secondary|56|0|353|5|2|106|no
unknown|yes|unknown|technician|no|may|married|no|unknown|54|0|851|5|2|108|no
unknown|yes|unknown|services|yes|may|divorced|no|primary|55|0|96|5|2|311|no
unknown|yes|unknown|services|yes|may|divorced|no|secondary|37|0|398|5|2|214|no
unknown|no|unknown|admin.|no|may|single|no|tertiary|33|0|193|5|2|132|no
unknown|yes|unknown|admin.|no|may|married|no|secondary|46|0|-172|5|2|358|no
unknown|yes|unknown|blue-collar|yes|may|married|no|secondary|36|0|539|5|2|453|no
unknown|yes|unknown|technician|no|may|single|no|secondary|51|0|0|5|2|364|no
unknown|no|unknown|retired|no|may|single|no|primary|40|0|0|5|2|136|no
unknown|yes|unknown|blue-collar|no|may|married|no|secondary|42|0|490|5|2|386|no
unknown|yes|unknown|blue-collar|no|may|married|no|secondary|51|0|0|5|2|173|no
unknown|yes|unknown|blue-collar|no|may|married|no|unknown|49|0|403|5|2|241|no
unknown|yes|unknown|management|no|may|married|no|secondary|48|0|161|5|3|224|no
unknown|no|unknown|technician|no|may|divorced|no|tertiary|32|0|2558|5|2|148|no
unknown|yes|unknown|admin.|no|may|single|no|secondary|31|0|98|5|2|196|no
unknown|no|unknown|management|no|may|single|no|tertiary|55|0|115|5|4|111|no
unknown|yes|unknown|blue-collar|no|may|single|no|secondary|40|0|436|5|3|231|no
unknown|yes|unknown|technician|no|may|married|no|tertiary|47|0|831|5|3|316|no
unknown|yes|unknown|technician|no|may|married|no|unknown|57|0|206|5|3|216|no
unknown|yes|unknown|blue-collar|no|may|married|no|secondary|41|0|290|5|2|240|no
unknown|no|unknown|blue-collar|no|may|married|no|secondary|48|0|1|5|3|669|no
unknown|yes|unknown|blue-collar|no|may|married|no|unknown|42|0|57|5|2|425|no
unknown|yes|unknown|blue-collar|no|may|single|no|secondary|30|0|-172|5|2|143|no
unknown|yes|unknown|management|no|may|single|no|tertiary|58|0|1387|5|5|174|no
unknown|yes|unknown|management|no|may|divorced|no|tertiary|45|0|5768|5|3|313|no
